OBJECTID,POINTID,LAT,LON,NUTS_ID,STAT_LEVL_,CNTR_CODE,CRIME,DISP_INC,LEAVERS,EDUC,EMPL,GENDER,HEALTH,INC_EQ,MTRL,POV,PR_LVLS,TCI,WS_QoL,WS_QoLadj,EUSILC
3541,3541,55.84872640000,22.04502350000,LT008,3.000000,LT,0.031010,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.257827,0.626854,6.268542,6.700000
3542,3542,55.82346780000,22.31929240000,LT008,3.000000,LT,0.031010,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.260543,0.626952,6.269525,6.700000
3543,3543,55.79764680000,22.59321270000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.264714,0.627103,6.271026,6.700000
3544,3544,55.77126430000,22.86677740000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.269440,0.627274,6.272736,6.700000
3545,3545,55.74432160000,23.13997970000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272895,0.627399,6.273987,6.700000
3546,3546,55.71681980000,23.41281250000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.274840,0.627469,6.274691,6.700000
3547,3547,55.68876000000,23.68526920000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.275108,0.627479,6.274788,6.700000
3548,3548,55.66014340000,23.95734290000,LT006,3.000000,LT,0.031960,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.275553,0.627495,6.274949,6.700000
3549,3549,55.63097130000,24.22902700000,LT005,3.000000,LT,0.000000,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.275425,0.627519,6.275192,6.700000
3550,3550,55.60124480000,24.50031480000,LT005,3.000000,LT,0.000000,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.274196,0.627475,6.274748,6.700000
3551,3551,55.57096530000,24.77119980000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272668,0.627400,6.273997,6.700000
3552,3552,55.54013380000,25.04167540000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.271380,0.627353,6.273531,6.700000
3553,3553,55.50875180000,25.31173530000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.270388,0.627317,6.273172,6.700000
3554,3554,55.47682060000,25.58137300000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.270923,0.627337,6.273366,6.700000
3555,3555,55.44434130000,25.85058230000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.270680,0.627328,6.273277,6.700000
3556,3556,55.41131540000,26.11935690000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.272172,0.627382,6.273817,6.700000
3557,3557,55.37774430000,26.38769060000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.273342,0.627424,6.274241,6.700000
3558,3558,55.34362920000,26.65557740000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.275612,0.627506,6.275063,6.700000
3559,3559,55.30897150000,26.92301110000,LT009,3.000000,LT,0.021760,15432.000000,5.900000,53.300000,71.800000,20.000000,80.150000,35.000000,13.600000,27.300000,62.800000,0.277437,0.627572,6.275723,6.700000
3560,3560,54.94981010000,-8.39608504000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.082163,0.614645,6.146452,7.400000
3561,3561,54.98744680000,-8.13228416000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.075631,0.614409,6.144088,7.400000
3562,3562,55.02455090000,-7.86800177000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.099186,0.615261,6.152613,7.400000
3563,3563,55.06112100000,-7.60324346000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.126161,0.616238,6.162376,7.400000
